,min,max,avg,mutate_num
0,24.0,29.0,25.2,0.0
1,23.0,45.0,25.27,52.0
2,36.0,52.0,38.41,56.0
3,20.0,34.0,23.12,52.0
4,28.0,44.0,36.005,56.0
5,19.0,44.0,23.095,78.0
6,20.0,44.0,24.49,106.0
7,19.0,44.0,23.72,98.0
8,19.0,66.0,23.965,129.0
9,25.0,352.0,32.46,81.0
10,25.0,351.0,103.35,59.0
11,26.0,353.0,291.98,54.0
12,27.0,351.0,326.67,62.0
13,24.0,351.0,303.985,81.0
14,25.0,353.0,293.34,165.0
15,21.0,353.0,293.775,180.0
16,24.0,305.0,232.355,217.0
17,30.0,351.0,290.37,76.0
18,24.0,352.0,326.575,63.0
19,25.0,354.0,324.04,69.0
20,27.0,352.0,213.8,61.0
21,28.0,354.0,308.76,77.0
22,23.0,353.0,301.825,171.0
23,23.0,125.0,112.31,147.0
24,23.0,301.0,64.895,75.0
25,24.0,589.0,295.575,64.0
26,19.0,589.0,80.955,55.0
27,19.0,589.0,215.765,72.0
28,19.0,589.0,405.57,62.0
29,19.0,589.0,459.675,80.0
30,19.0,589.0,429.76,139.0
31,19.0,589.0,409.0,160.0
32,19.0,589.0,128.685,185.0
33,19.0,589.0,328.815,178.0
34,18.0,589.0,375.295,163.0
35,19.0,589.0,270.69,198.0
36,19.0,589.0,348.99,153.0
37,19.0,589.0,401.665,152.0
38,19.0,589.0,235.02,170.0
39,19.0,589.0,402.88,132.0
40,19.0,303.0,228.035,136.0
41,24.0,589.0,480.2,74.0
42,19.0,303.0,229.125,64.0
43,24.0,589.0,485.435,71.0
44,19.0,589.0,447.715,51.0
45,19.0,589.0,363.97,63.0
46,19.0,589.0,456.41,77.0
47,19.0,589.0,502.92,63.0
